Survey Name,DS_0494431_00-07-30-026-17W4-0.csv,,,,,,,,
Final Survey,Y,,,,,,,,
Well Licensee,Mainland Oil,,,,,,,,
Survey Company,Maine Drilling,,,,,,,,
Licence Number,494431,,,,,,,,
Well Name,N40 Hz Messford 7-30-26-17W4,,,,,,,,
Slanted Drilling,Y or N,,,,,,,,
DLS Surface Hole Location,07-29-026-17W4,,,,,,,,
NAD 83 Surface Lat,51.247014,,,,,,,,
NAD 83 Surface Long,-112.365038,,,,,,,,
Ground Level Elevation,870.22,,,,,,,,
Kelly Bushing Elevation,874.62,,,,,,,,
UWI (D59:at the time of submission),00/07-30-026-17W4/00,,,,,,,,
Final Survey Date (YYYY-MM-DD),2021-10-06,,,,,,,,
North Reference,TRUE,,,,,,,,
Universal Transverse Mercator Zone,11N or 12N,,,,,,,,
Survey Calculation Method,Minimum Curvature,,,,,,,,
Units of Measurement,Meters & Degrees,,,,,,,,
Convergence Angle,0.33,,,,,,,,
Magnetic Model,HDGM_FILE,,,,,,,,
Magnetic Model Date (YYYY-MM-DD),2019-04-01,,,,,,,,
Vertical Section Azimuth,273.95,,,,,,,,
Declination,13.11,,,,,,,,
,,,,,,,,,
MD,Inclination,Azimuth,True Vertical Depth (TVD),TVDSS,Vert Sect,N+/S-,E+/W-,Survey Tool,Annotations
[m],[°] or deg,[°] or deg,[m],[m],[m],[m],[m],Type,
1466.45,1.64,163.12,1466.33,-626.41,1466.33,3.66,3.14,Gyro,    
1485.84,1.41,149.5,1485.71,-645.79,1485.71,3.18,3.33,Gyro,    
1505.24,0.91,133.41,1505.11,-665.19,1505.11,2.85,3.55,Gyro,    
1524.57,1.26,188.66,1524.44,-684.52,1524.44,2.54,3.61,Gyro,    
1543.98,1.48,207.12,1543.84,-703.92,1543.84,2.11,3.45,Gyro,    
1563.35,1.53,213.62,1563.2,-723.28,1563.2,1.68,3.17,Gyro,    
1582.73,0.63,212.04,1582.58,-742.66,1582.58,1.38,2.96,Gyro,    
1602.14,0.3,238.06,1601.99,-762.07,1601.99,1.27,2.85,Gyro,    
1621.56,1.01,243.55,1621.41,-781.49,1621.41,1.18,2.65,Gyro,    
1640.92,0.73,240.87,1640.77,-800.85,1640.77,1.05,2.39,Gyro,    
1660.3,0.74,258.89,1660.15,-820.23,1660.15,0.98,2.15,Gyro,    
1679.65,0.56,261.79,1679.49,-839.57,1679.49,0.95,1.94,Gyro,    
1699.06,0.55,267.24,1698.9,-858.98,1698.9,0.94,1.75,Gyro,    
1718.47,0.54,314.49,1718.31,-878.39,1718.31,1.01,1.59,Gyro,    
1737.86,0.78,328.55,1737.7,-897.78,1737.7,1.19,1.47,Gyro,    
1757.22,0.89,317.3,1757.06,-917.14,1757.06,1.42,1.3,Gyro,    
1776.61,0.48,308.77,1776.45,-936.53,1776.45,1.59,1.15,Gyro,    
1796,0.58,327.94,1795.84,-955.92,1795.84,1.72,1.04,Gyro,    
1815.37,1.09,6.39,1815.2,-975.28,1815.2,1.99,1.02,Gyro,    
1834.78,1.05,355.41,1834.61,-994.69,1834.61,2.35,1.04,Gyro,    
1854.17,1.02,12.37,1854,-1014.08,1854,2.7,1.08,Gyro,    
1873.58,0.74,358.97,1873.41,-1033.49,1873.41,2.99,1.12,Gyro,    
1892.97,1.01,21.16,1892.79,-1052.87,1892.79,3.27,1.19,Gyro,    
1912.38,0.34,54.52,1912.2,-1072.28,1912.2,3.46,1.31,Gyro,    
1931.75,0.78,100.54,1931.57,-1091.65,1931.57,3.46,1.49,Gyro,    
1951.15,0.09,232.43,1950.97,-1111.05,1950.97,3.42,1.6,Gyro,    
1970.55,0.31,44.85,1970.37,-1130.45,1970.37,3.45,1.63,Gyro,    
1989.96,1.01,28.63,1989.78,-1149.86,1989.78,3.63,1.76,Gyro,    
2009.35,1.06,26.87,2009.17,-1169.25,2009.17,3.93,1.93,Gyro,    
2028.74,1.15,36.72,2028.55,-1188.63,2028.55,4.24,2.14,Gyro,    
2048.12,0.74,104.32,2047.93,-1208.01,2047.93,4.36,2.39,Gyro,    
2067.51,1.29,141.5,2067.32,-1227.4,2067.32,4.14,2.63,Gyro,    
2086.88,0.94,193.01,2086.68,-1246.76,2086.68,3.81,2.72,Gyro,    
2106.24,1.17,201.49,2106.04,-1266.12,2106.04,3.48,2.6,Gyro,    
2125.62,0.74,137.28,2125.42,-1285.5,2125.42,3.2,2.6,Gyro,    
2135,0.4,256.98,2134.8,-1294.88,2134.8,3.15,2.61,Gyro,KOP = 2135.00 m KB
2135.3,0.43,259.72,2135.1,-1295.18,2135.1,3.15,2.6,Gyro,    
2145.02,3.17,271.77,2144.81,-1304.89,2144.81,3.17,2.3,Gyro,    
2154.7,5.69,273.17,2154.46,-1314.54,2154.46,3.23,1.55,Gyro,DDE # 1 = 20210716; 2154.70 m KB; Dev
2164.38,8.51,277.83,2164.07,-1324.15,2164.07,3.41,0.37,Gyro,    
2174.06,10.77,275.28,2173.61,-1333.69,2173.61,3.66,-1.23,MWD+HDGM (2),
2183.75,13.95,273.35,2183.08,-1343.16,2183.08,3.9,-3.29,MWD+HDGM (2),    
2193.43,16.53,269.61,2192.41,-1352.49,2192.41,4.06,-5.83,MWD+HDGM (2),    
2203.12,18.92,269.17,2201.64,-1361.72,2201.64,4.15,-8.78,MWD+HDGM (2),    
2212.81,20.67,270.1,2210.76,-1370.84,2210.76,4.27,-12.06,MWD+HDGM (2),    
2222.49,22.36,271.24,2219.77,-1379.85,2219.77,4.47,-15.6,MWD+HDGM (2),    
2232.18,25.01,272.6,2228.64,-1388.72,2228.64,4.76,-19.48,MWD+HDGM (2),    
2241.87,28.22,274.1,2237.3,-1397.38,2237.3,5.2,-23.8,MWD+HDGM (2),    
2251.58,31.22,275.37,2245.73,-1405.81,2245.73,5.81,-28.57,MWD+HDGM (2),    
2261.28,34.1,277.74,2253.9,-1413.98,2253.9,6.63,-33.74,MWD+HDGM (2),    
2270.98,37.15,279.9,2261.78,-1421.86,2261.78,7.73,-39.28,MWD+HDGM (2),    
2280.69,41.12,281.92,2269.31,-1429.39,2269.31,9.15,-45.24,MWD+HDGM (2),    
2290.36,44.92,284.03,2276.38,-1436.46,2276.38,10.91,-51.6,MWD+HDGM (2),    
2300.03,49.16,284.82,2282.97,-1443.05,2282.97,12.96,-58.37,MWD+HDGM (2),    
2309.72,52.09,285.3,2289.12,-1449.2,2289.12,15.21,-65.51,MWD+HDGM (2),    
2319.42,52.64,287.02,2295.04,-1455.12,2295.04,17.66,-72.79,MWD+HDGM (2),    
2329.11,51.92,289,2300.97,-1461.05,2300.97,20.33,-79.98,MWD+HDGM (2),    
2338.78,51.99,290.09,2306.93,-1467.01,2306.93,23.18,-87.04,MWD+HDGM (2),    
2348.48,52.4,289.79,2312.87,-1472.95,2312.87,26.1,-94.12,MWD+HDGM (2),    
2358.17,53.66,289.26,2318.7,-1478.78,2318.7,28.99,-101.31,MWD+HDGM (2),    
2367.86,55.52,288.95,2324.32,-1484.4,2324.32,31.89,-108.65,MWD+HDGM (2),    
2377.45,57.01,287.94,2329.64,-1489.72,2329.64,34.73,-116.1,MWD+HDGM (2),    
2387.1,58.95,287.19,2334.76,-1494.84,2334.76,37.53,-123.79,MWD+HDGM (2),    
2396.79,61.17,287.24,2339.59,-1499.67,2339.59,40.35,-131.7,MWD+HDGM (2),    
2406.48,63.47,288.82,2344.1,-1504.18,2344.1,43.35,-139.74,MWD+HDGM (2),    
2416.16,65.01,291.02,2348.3,-1508.38,2348.3,46.66,-147.8,MWD+HDGM (2),    
2425.85,65.47,293.3,2352.36,-1512.44,2352.36,50.32,-155.8,MWD+HDGM (2),    
2435.56,65.84,295.28,2356.36,-1516.44,2356.36,54.3,-163.7,MWD+HDGM (2),    
2445.23,66.99,296.25,2360.23,-1520.31,2360.23,58.49,-171.51,MWD+HDGM (2),    
2454.95,68.5,296.51,2363.92,-1524,2363.92,62.82,-179.4,MWD+HDGM (2),    
2464.66,70.42,296.25,2367.32,-1527.4,2367.32,67.2,-187.36,MWD+HDGM (2),    
2474.36,72.08,295.9,2370.44,-1530.52,2370.44,71.59,-195.44,MWD+HDGM (2),    
2484.07,73.98,295.37,2373.27,-1533.35,2373.27,75.95,-203.63,MWD+HDGM (2),    
2493.75,76.31,295.11,2375.76,-1535.84,2375.76,80.3,-211.92,MWD+HDGM (2),    
2503.45,78.13,294.36,2377.9,-1537.98,2377.9,84.62,-220.33,MWD+HDGM (2),    
2513.13,80.7,294.09,2379.68,-1539.76,2379.68,88.88,-228.84,MWD+HDGM (2),DDE # 2 = 20210717; 2513.13m KB; Hz
2524.72,83.38,292.86,2381.28,-1541.36,2381.28,93.9,-239.16,MWD+HDGM (2),    
